Johnny:~ Yoonseung$ hadoop jar Desktop/HadoopWorks/outOfMemoryExamples/outOfMemCase01/target/outOfMemCase01-0.0.1-SNAPSHOT.jar trial.Trial hdfs/sample.txt intrm2 final
Warning: $HADOOP_HOME is deprecated.

15/08/22 00:13:29 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
15/08/22 00:13:30 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
15/08/22 00:13:30 WARN snappy.LoadSnappy: Snappy native library not loaded
15/08/22 00:13:30 INFO mapred.FileInputFormat: Total input paths to process : 1
15/08/22 00:13:30 INFO net.NetworkTopology: Adding a new node: /default-rack/127.0.0.1:50010
15/08/22 00:13:30 INFO mapred.JobClient: Running job: job_201508212347_0003
15/08/22 00:13:31 INFO mapred.JobClient:  map 0% reduce 0%
15/08/22 00:13:50 INFO mapred.JobClient:  map 2% reduce 0%
15/08/22 00:13:53 INFO mapred.JobClient:  map 4% reduce 0%
15/08/22 00:13:56 INFO mapred.JobClient:  map 5% reduce 0%
15/08/22 00:13:59 INFO mapred.JobClient:  map 7% reduce 0%
15/08/22 00:14:02 INFO mapred.JobClient:  map 9% reduce 0%
15/08/22 00:14:05 INFO mapred.JobClient:  map 11% reduce 0%
15/08/22 00:14:08 INFO mapred.JobClient:  map 13% reduce 0%
15/08/22 00:14:11 INFO mapred.JobClient:  map 14% reduce 0%
15/08/22 00:14:14 INFO mapred.JobClient:  map 16% reduce 0%
15/08/22 00:14:17 INFO mapred.JobClient:  map 18% reduce 0%
15/08/22 00:14:20 INFO mapred.JobClient:  map 20% reduce 0%
15/08/22 00:14:23 INFO mapred.JobClient:  map 21% reduce 0%
15/08/22 00:14:26 INFO mapred.JobClient:  map 23% reduce 0%
15/08/22 00:14:29 INFO mapred.JobClient:  map 25% reduce 0%
15/08/22 00:14:32 INFO mapred.JobClient:  map 27% reduce 0%
15/08/22 00:14:35 INFO mapred.JobClient:  map 28% reduce 0%
15/08/22 00:14:38 INFO mapred.JobClient:  map 30% reduce 0%
15/08/22 00:14:41 INFO mapred.JobClient:  map 31% reduce 0%
15/08/22 00:14:44 INFO mapred.JobClient:  map 33% reduce 0%
